CO_ENTIDADE,DS_ENDERECO,QT_SALAS_UTILIZADAS,IN_QUADRA_ESPORTES_COBERTA,IN_PISCINA
41128613,RUA ENGENHEIROS REBOUCAS,14.0,1.0,0.0
41128648,AVENIDA DA INTEGRACAO,18.0,1.0,0.0
41128656,AV SENADOR SOUZA NAVES,20.0,0.0,0.0
41128664,RUA DO BUDA,11.0,0.0,0.0
41128672,RUA JORNALISTA ALCEU CHICHORRO,19.0,1.0,0.0
41128699,RUA NILO PECANHA,32.0,1.0,0.0
41128702,RUA FERNANDO DE NORONHA,23.0,1.0,0.0
41128737,RUA DESEMBARGADOR CID CAMPELO,17.0,1.0,0.0
41128745,RUA JOAO BATISTA ZAGONEL PASSOS,16.0,1.0,0.0
41128753,RUA REINALDO DE CARVALHO BOLA,23.0,1.0,0.0
41128770,RUA DO HERVAL,26.0,1.0,0.0
41128885,RUA PAULO CESAR DE ARAUJO KALIL SN,14.0,1.0,0.0
41128893,RUA CLEMENTE RITZ,41.0,1.0,0.0
41128915,RUA PADRE PAULO WARKOCZ,16.0,1.0,0.0
41128931,RUA MILTON MIRAMIR VISINONI,17.0,1.0,0.0
41128940,RUA JOVENILSON AMERICO DE OLIVEIRA,24.0,1.0,0.0
41128958,RUA ALVORADA,13.0,1.0,0.0
41128966,RUA EUGENIO PAROLIN,11.0,1.0,0.0
41128974,RUA DEL MIGUEL ZACARIAS,11.0,1.0,0.0
41128982,RUA JOSE SPERANCETTA,10.0,1.0,0.0
41129008,AV PREF LOTHARIO MEISSNER,48.0,0.0,0.0
41129040,RUA CAP JOSE MARIA SOBRINHO,8.0,1.0,0.0
41129059,AV SENADOR SALGADO FILHO,,,
41129067,RUA LUIZ FRANCA,15.0,1.0,0.0
41129075,RUA JORNALISTA GERALDO RUSSE,,,
41129083,RUA JOSE ZALESKI,20.0,1.0,0.0
41129091,RUA OSMARIO DE LIMA,10.0,1.0,0.0
41129105,RUA GUILHERME IHLENFELDET,17.0,1.0,0.0
41129113,RUA BENTO VIANA,,,
41129121,RUA RIO JAPURA,12.0,1.0,0.0
41129130,RUA EMILIANO PERNETA,40.0,1.0,0.0
41129148,RUA PASTOR DAVID KOOP,104.0,1.0,0.0
41129156,RUA CAMPINA DA LAGOA,21.0,1.0,0.0
41129164,AV NOSSA SENHORA DE NAZARE,12.0,1.0,0.0
41129172,RUA MATEUS LEME,10.0,1.0,0.0
41129180,RUA ANTONIO GEROSLAU FERREIRA,31.0,1.0,0.0
41129199,AV MARECHAL DEODORO,15.0,0.0,0.0
41129253,RUA MIGUEL RAICOSKI SOBRINHO SN,23.0,0.0,0.0
41129261,RUA CLARA TEDESCO,16.0,1.0,0.0
41129270,RUA FREDERICO STADLER JUNIOR,20.0,1.0,0.0
41129296,RUA BALDUR MAGNUS GRUBBA,14.0,1.0,0.0
41129318,RUA DR PEDRO AUGUSTO MENNA BARRETO MON,26.0,1.0,0.0
41129326,RUA CARLOS DE CAMPOS,25.0,1.0,0.0
41129342,RUA FLORIANO ESSENFELDER,17.0,1.0,0.0
41129350,RUA HOLANDA,8.0,1.0,0.0
41129393,RUA CLETO DA SILVA,28.0,1.0,0.0
41129407,RUA BOM PASTOR,35.0,1.0,0.0
41129431,RUA JOAO REFFO,13.0,1.0,0.0
41129440,RUA FRANCISCO DEROSSO,15.0,1.0,0.0
41129458,RUA CID MARCONDES DE ALBUQUERQUE,33.0,1.0,0.0
41129466,RUA FRANCISCO DEROSSO,17.0,1.0,0.0
41129474,RUA FRANCISCO TISSOT,13.0,1.0,0.0
41129482,RUA JOSE TISSI,15.0,1.0,0.0
41129490,AV MANOEL RIBAS,19.0,1.0,0.0
41129512,RUA TABAJARAS,9.0,0.0,0.0
41129539,RUA CARMELINA CAVASSIN,13.0,0.0,0.0
41129571,RUA JOAQUIM CARDOSO DA SILVEIRA,15.0,1.0,0.0
41129580,RUA EMILIA MARIA UBA,12.0,1.0,0.0
41129598,RUA LEONARDO JAVORSKI,9.0,0.0,0.0
41129628,RUA BOM JESUS DE IGUAPE,14.0,1.0,0.0
41129636,RUA ALCIR MARTINS BASTOS,16.0,1.0,0.0
41129679,RUA LAMENHA LINS,16.0,1.0,0.0
41129687,RUA JACAREZINHO,13.0,0.0,0.0
41129695,RUA IR FLAVIA BORLET,8.0,1.0,0.0
41129709,RUA DONA BARBARA CID,10.0,1.0,0.0
41129717,RUA DELEGADO BRUNO DE ALMEIDA,9.0,0.0,0.0
41129725,RUA IZAAC FERREIRA DA CRUZ,21.0,1.0,0.0
41129733,RUA ROBERT REDZIMSKI,18.0,1.0,0.0
41129741,RUA FRANCISCO JUGLAIR,8.0,0.0,0.0
41129776,RUA ORLANDO PERUCCI,15.0,0.0,1.0
41129784,RUA SATURNINO ARRUDA DOS SANTOS,12.0,1.0,0.0
41129792,AV PREFEITO OMAR SABBAG,27.0,1.0,0.0
41129806,RUA FERNANDES VIEIRA,14.0,1.0,0.0
41129830,AVENIDA MANOEL RIBAS,27.0,1.0,0.0
41129849,RUA PADRE PAULO WARKOCZ,8.0,1.0,0.0
41129857,RUA FREDERICO MAURER,64.0,1.0,0.0
41129881,RUA ALBERTO FOLLONI,22.0,1.0,1.0
41129890,AVENIDA DOUTOR EUGENIO BERTOLLI,70.0,1.0,0.0
41129903,AV JORNALISTA ADERBAL GAERTNER STRESSER,21.0,1.0,0.0
41129920,RUA ROSA TORTATO,12.0,1.0,0.0
41129938,RUA ANNE FRANK,17.0,1.0,0.0
41129946,RUA CAP LEONIDAS MARQUES,11.0,1.0,0.0
41129954,RUA SAO PAULO,15.0,1.0,0.0
41129962,RUA VER ADEODATO VOLPI,9.0,1.0,0.0
41129970,RUA NOSSA SENHORA DA CABECA,24.0,1.0,0.0
41129989,RUA EDUARDO SPRADA,10.0,0.0,0.0
41129997,RUA JOSE MAZEPA,15.0,1.0,0.0
41130006,RUA JOSE ANGELO MARTINS,27.0,1.0,0.0
41130022,RUA HERMENEGILDO BONAT,10.0,1.0,0.0
41130030,RUA SILVIO ZANATTA,6.0,0.0,0.0
41130049,RUA LUIZ ZILLI,7.0,1.0,0.0
41130057,RUA PRIMEIRO DE MAIO,22.0,1.0,0.0
41130065,RUA ANA APARECIDA L CANET,27.0,1.0,0.0
41130090,RUA JOAO BETTEGA,67.0,1.0,0.0
41130103,RUA VISCONDE DO CERRO FRIO SN,16.0,1.0,0.0
41130111,RUA JOSE GONCALVES JUNIOR,6.0,0.0,0.0
41130138,RUA PADRE MANUEL DA NOBREGA,14.0,1.0,0.0
41130146,RUA MARIO GOMES CESAR,16.0,1.0,0.0
41130154,RUA ULISSES JOSE RIBEIRO,8.0,1.0,0.0
41130162,RUA SANTA REGINA,16.0,1.0,0.0
41130170,RUA MARIA GERONASSO DO ROSARIO,17.0,1.0,0.0
41130189,RUA JOAO BARBOSA DE ALMEIDA,16.0,1.0,0.0
41130197,RUA ALM GONCALVES,11.0,1.0,0.0
41130200,RUA FRANCIS BACON,11.0,0.0,0.0
41130219,RUA ITACOLOMI,48.0,1.0,0.0
